"the_geom","OBJECTID_1","PARK","PARK_NO","FACILITY_N","FACILITY_T","X_COORD","Y_COORD","GISOBJID"
"POINT (-87.72404035238743 41.91837670367219)","2,764","MOZART (AMADEUS)","128","BASEBALL JR/SOFTBALL","OUTDOOR","-87.72404035","41.9183767","3,406"
"POINT (-87.7232663456565 41.91880768505887)","2,765","MOZART (AMADEUS)","128","BASEBALL JR/SOFTBALL","OUTDOOR","-87.72326635","41.91880769","3,407"
"POINT (-87.72317075281852 41.917779574707225)","2,766","MOZART (AMADEUS)","128","PLAYGROUND","OUTDOOR","-87.72317075","41.91777957","3,408"
"POINT (-87.66657144558077 41.83610361442355)","2,767","MULBERRY","1,284","PLAYGROUND","OUTDOOR","-87.66657145","41.83610361","3,409"
"POINT (-87.66657862045267 41.83629214841803)","2,768","MULBERRY","1,284","SPRAY FEATURE","OUTDOOR","-87.66657862","41.83629215","3,410"
"POINT (-87.68606216946972 41.70214676826989)","2,769","MUNROE","1,052","FOOTBALL/SOCCER COMBO FLD","OUTDOOR","-87.68606217","41.70214677","3,411"
"POINT (-87.68726871116597 41.701090516937704)","2,770","MUNROE","1,052","BASEBALL JR/SOFTBALL","OUTDOOR","-87.68726871","41.70109052","3,412"
"POINT (-87.68672261205853 41.70189825055036)","2,771","MUNROE","1,052","BASEBALL JR/SOFTBALL","OUTDOOR","-87.68672261","41.70189825","3,413"
"POINT (-87.68723874483565 41.702321978863)","2,772","MUNROE","1,052","PLAYGROUND","OUTDOOR","-87.68723874","41.70232198","3,414"
"POINT (-87.68673758378156 41.70245796644625)","2,773","MUNROE","1,052","VOLLEYBALL (SAND)","OUTDOOR","-87.68673758","41.70245797","3,415"
"POINT (-87.68702604030466 41.70242433695292)","2,774","MUNROE","1,052","SPRAY FEATURE","OUTDOOR","-87.68702604","41.70242434","3,416"
"POINT (-87.68588686755884 41.701977269466575)","2,775","MUNROE","1,052","TRACK","OUTDOOR","-87.68588687","41.70197727","3,419"
"POINT (-87.66795920641445 41.76084032815953)","2,776","MURRAY (DAVID)","1,053","BASKETBALL COURT","OUTDOOR","-87.66795921","41.76084033","3,420"
"POINT (-87.66825933719075 41.76057594480088)","2,777","MURRAY (DAVID)","1,053","BASEBALL JR/SOFTBALL","OUTDOOR","-87.66825934","41.76057594","3,421"
"POINT (-87.66834767852801 41.76091861173689)","2,778","MURRAY (DAVID)","1,053","PLAYGROUND","OUTDOOR","-87.66834768","41.76091861","3,422"
"POINT (-87.66826161815334 41.76105750997584)","2,779","MURRAY (DAVID)","1,053","SPRAY FEATURE","OUTDOOR","-87.66826162","41.76105751","3,423"
"POINT (-87.6676472637569 41.75990800479885)","2,780","MURRAY (DAVID)","1,053","BASEBALL SR","OUTDOOR","-87.66764726","41.759908","3,424"
"POINT (-87.5800758965587 41.765887316819324)","2,781","NASH (DON) COMM. CTR.","482","FITNESS CENTER","INDOOR","-87.5800759","41.76588732","3,425"
"POINT (-87.57980643291562 41.765862624893934)","2,782","NASH (DON) COMM. CTR.","482","GYMNASIUM","INDOOR","-87.57980643","41.76586262","3,426"
"POINT (-87.57995791345171 41.76587671851517)","2,783","NASH (DON) COMM. CTR.","482","POOL (INDOOR)","INDOOR","-87.57995791","41.76587672","3,427"
"POINT (-87.58037715888582 41.76582168292922)","2,784","NASH (DON) COMM. CTR.","482","PLAYGROUND","OUTDOOR","-87.58037716","41.76582168","3,428"
"POINT (-87.70205661824122 41.937115631172475)","2,785","NELSON (ANDREW)","1,133","PLAYGROUND","OUTDOOR","-87.70205662","41.93711563","3,429"
"POINT (-87.59295484302336 41.79894231529762)","2,786","NICHOLS (JOHN FOUNTAIN)","277","GYMNASIUM","INDOOR","-87.59295484","41.79894232","3,430"
